Customer_ID,Product_ID,Transaction_ID,Purchase_Frequency,Average_Order_Value,Most_Frequent_Category,Time_between_Purchase,Region,Churn_Probability,Lifetime_Value,Launch_Date,Peak_Sale_Date ,Season,Preferred_Purchase_Time,Retention_Strategy,Churn_Flag
CUST_C5W9U4,PROD_18DE0Q,TRANS_DH0JF31,14,55.44,Sports,52,South America,0.52,3222.47,1/4/2020,2/10/2023,Spring,Afternoon,Email Campaign,Medium
CUST_HRZZZW,PROD_OKCQ93,TRANS_DH0JF32,5,62.23,Clothing,89,North America,0.75,732.19,1/4/2020,7/5/2023,Summer,Afternoon,Loyalty Program,Medium
CUST_9PH1V5,PROD_DB6LAT,TRANS_DH0JF33,2,64.71,Home,7,Asia,1,970.81,1/4/2020,6/17/2023,Winter,Evening,Loyalty Program,High
CUST_MHYFO8,PROD_8NC7Y3,TRANS_DH0JF34,2,69.05,Home,74,North America,0.04,3421.3,1/4/2020,6/30/2023,Summer,Morning,Loyalty Program,Low
CUST_S86VTI,PROD_7FG9WQ,TRANS_DH0JF35,2,97.26,Sports,78,North America,0.34,3494.42,1/4/2020,10/13/2023,Summer,Morning,Email Campaign,Low
CUST_V2ET9C,PROD_V0LS49,TRANS_DH0JF36,9,122.47,Clothing,67,North America,0.01,221.48,1/4/2020,8/28/2023,Winter,Afternoon,Discount,Low
CUST_7S1I7F,PROD_0G0VKF,TRANS_DH0JF37,14,132.97,Clothing,55,Europe,0.21,8203.19,1/4/2020,11/22/2023,Summer,Morning,Email Campaign,Low
CUST_NC420F,PROD_7OIUDP,TRANS_DH0JF38,17,142.87,Home,48,South America,0.02,8507.05,1/4/2020,12/14/2023,Fall,Morning,Discount,Low
CUST_UEATMR,PROD_IPMXX6,TRANS_DH0JF39,1,151.29,Electronics,5,Europe,0.28,1834.68,1/4/2020,2/27/2023,Spring,Morning,Loyalty Program,Low
CUST_O2UVKH,PROD_KQ4ZF4,TRANS_DH0JF40,17,152.72,Electronics,49,Asia,0.63,2521.12,1/4/2020,2/19/2023,Winter,Afternoon,Loyalty Program,Medium
CUST_ZY1W9W,PROD_R7Y9DB,TRANS_DH0JF41,3,162.62,Sports,83,North America,0.14,142.35,1/4/2020,11/18/2023,Winter,Morning,Email Campaign,Low
CUST_AP1Q1T,PROD_439JKO,TRANS_DH0JF42,9,193.71,Home,31,Europe,0.2,482.34,1/4/2020,2/6/2023,Spring,Morning,Discount,Low
CUST_7EACWI,PROD_LECROH,TRANS_DH0JF43,3,48.13,Clothing,8,South America,0.04,4404.19,1/5/2020,4/3/2023,Spring,Morning,Email Campaign,Low
CUST_4GFGQY,PROD_VM79HT,TRANS_DH0JF44,7,66.24,Sports,10,Asia,0.08,3283.1,1/5/2020,11/5/2023,Fall,Evening,Discount,Low
CUST_BSFCZS,PROD_GLSWFQ,TRANS_DH0JF45,17,71.55,Clothing,88,Europe,0.41,8815.47,1/5/2020,3/18/2023,Summer,Morning,Email Campaign,Low
CUST_03VGSO,PROD_FNH8HQ,TRANS_DH0JF46,10,88.8,Electronics,65,South America,0.82,6054.76,1/5/2020,2/1/2023,Summer,Morning,Email Campaign,High
CUST_PLV7K6,PROD_QPFWU6,TRANS_DH0JF47,8,93.34,Sports,65,Asia,0.06,4572.56,1/5/2020,7/11/2023,Fall,Evening,Loyalty Program,Low
CUST_KFN89Q,PROD_9VNMVX,TRANS_DH0JF48,19,96.47,Electronics,62,North America,0.38,547.54,1/5/2020,12/19/2023,Winter,Afternoon,Email Campaign,Low
CUST_9BTT4H,PROD_KZU8VS,TRANS_DH0JF49,8,106.98,Home,24,Europe,0.49,5107.12,1/5/2020,12/4/2023,Summer,Morning,Email Campaign,Low
CUST_IFVIL4,PROD_PD1D5B,TRANS_DH0JF50,18,121.05,Clothing,71,Asia,0.08,6351.92,1/5/2020,4/6/2023,Spring,Morning,Discount,Low
CUST_VPRS2J,PROD_AY4UP1,TRANS_DH0JF51,1,136.69,Home,84,South America,0.92,6480.73,1/5/2020,9/29/2023,Winter,Evening,Loyalty Program,High
CUST_TIGR6V,PROD_CZKQO8,TRANS_DH0JF52,6,167.66,Home,27,Asia,0.83,9693.01,1/5/2020,1/28/2023,Spring,Morning,Email Campaign,High
CUST_EC89AI,PROD_M8GA8N,TRANS_DH0JF53,12,28.15,Electronics,10,South America,0.5,8230.98,1/6/2020,7/21/2023,Fall,Morning,Loyalty Program,Medium
CUST_QXD5HM,PROD_EL6701,TRANS_DH0JF54,15,29.52,Electronics,44,Asia,0.05,5558.73,1/6/2020,9/11/2023,Spring,Morning,Loyalty Program,Low
CUST_DF436G,PROD_UIBQ8H,TRANS_DH0JF55,13,55.18,Electronics,46,North America,0.37,1610.27,1/6/2020,2/12/2023,Spring,Evening,Loyalty Program,Low
CUST_E7RX60,PROD_J2GKBV,TRANS_DH0JF56,16,103.97,Home,82,Asia,0.88,9933.03,1/6/2020,10/7/2023,Fall,Evening,Email Campaign,High
CUST_W0GLKM,PROD_6G8PKP,TRANS_DH0JF57,8,135.41,Sports,48,Europe,0.34,5758.47,1/6/2020,6/16/2023,Summer,Morning,Loyalty Program,Low
CUST_OA5DOA,PROD_WSLPVB,TRANS_DH0JF58,10,157.1,Clothing,87,South America,0.51,3977.18,1/6/2020,8/28/2023,Summer,Afternoon,Loyalty Program,Medium
CUST_A8JSGT,PROD_WXCOT5,TRANS_DH0JF59,4,168.86,Clothing,24,Asia,0.59,1758.87,1/6/2020,5/19/2023,Spring,Evening,Loyalty Program,Medium
CUST_ZIMOOB,PROD_50ZMSE,TRANS_DH0JF60,13,21.71,Home,38,South America,0.43,4353.04,1/7/2020,3/11/2023,Summer,Morning,Email Campaign,Low
CUST_AD2D3A,PROD_43XQB5,TRANS_DH0JF61,6,23.15,Electronics,89,North America,0.65,3005.71,1/7/2020,12/23/2023,Fall,Afternoon,Email Campaign,Medium
CUST_5IHYX7,PROD_R0J47K,TRANS_DH0JF62,8,38.32,Sports,7,South America,0.89,8750.34,1/7/2020,6/11/2023,Fall,Afternoon,Loyalty Program,High
CUST_BHMQK8,PROD_VYFE4R,TRANS_DH0JF63,15,40.23,Sports,69,Asia,0.69,6512.33,1/7/2020,12/29/2023,Winter,Afternoon,Email Campaign,Medium
CUST_XDYENU,PROD_YSROPT,TRANS_DH0JF64,15,41.43,Electronics,16,Europe,0.95,9450.07,1/7/2020,5/26/2023,Spring,Evening,Email Campaign,High
CUST_ST9ZAR,PROD_70JQPD,TRANS_DH0JF65,17,44.12,Electronics,52,Europe,0.02,5178.94,1/7/2020,10/26/2023,Winter,Morning,Discount,Low
CUST_RGPJST,PROD_7TG16A,TRANS_DH0JF66,7,111.73,Sports,12,Europe,0.95,9984.85,1/7/2020,1/1/2023,Fall,Morning,Email Campaign,High
CUST_R18FXT,PROD_EMNWWM,TRANS_DH0JF67,2,50.85,Clothing,88,Asia,0.32,454.29,1/8/2020,10/16/2023,Winter,Afternoon,Loyalty Program,Low
CUST_LQ5AF7,PROD_MUZPZR,TRANS_DH0JF68,13,85.09,Sports,48,South America,0.83,480.57,1/8/2020,8/2/2023,Fall,Afternoon,Email Campaign,High
CUST_61YMCL,PROD_1AGI0U,TRANS_DH0JF69,13,93.13,Clothing,43,South America,0.61,118.35,1/8/2020,8/23/2023,Winter,Evening,Email Campaign,Medium
CUST_I43US6,PROD_EEFV9F,TRANS_DH0JF70,17,115.45,Clothing,16,South America,0.08,9377.4,1/8/2020,1/18/2023,Winter,Evening,Loyalty Program,Low
CUST_MISSMH,PROD_48NHC0,TRANS_DH0JF71,12,120.89,Home,10,Asia,0.49,1210.31,1/8/2020,8/22/2023,Summer,Evening,Email Campaign,Low
CUST_1EOR0T,PROD_D8XR8Y,TRANS_DH0JF72,7,145.48,Sports,76,South America,0.83,3463.16,1/8/2020,5/16/2023,Summer,Afternoon,Discount,High
CUST_SBT7TL,PROD_ER9VS3,TRANS_DH0JF73,2,163.25,Sports,77,South America,0.89,1422.75,1/8/2020,11/30/2023,Spring,Afternoon,Email Campaign,High
CUST_2LI5B7,PROD_E42Q6S,TRANS_DH0JF74,1,176.61,Sports,44,Europe,0.83,6321.29,1/8/2020,4/28/2023,Fall,Morning,Email Campaign,High
CUST_S5WNVH,PROD_3TX602,TRANS_DH0JF75,11,186.1,Electronics,76,North America,0.79,7565.68,1/8/2020,9/25/2023,Summer,Evening,Email Campaign,Medium
CUST_DKTQRJ,PROD_0MJ4S3,TRANS_DH0JF76,1,26.66,Clothing,10,Asia,0.09,3607.67,1/9/2020,12/3/2023,Summer,Afternoon,Loyalty Program,Low
CUST_XXYT1D,PROD_QMRO5L,TRANS_DH0JF77,3,46.66,Clothing,8,Europe,0.33,3004.57,1/9/2020,12/30/2023,Winter,Evening,Discount,Low
CUST_UJQ7BY,PROD_XP894K,TRANS_DH0JF78,13,59.15,Clothing,49,South America,0.9,3791.39,1/9/2020,6/15/2023,Summer,Morning,Discount,High
CUST_ZK08KO,PROD_92QSHL,TRANS_DH0JF79,17,63.67,Home,30,Asia,0.86,1263.72,1/9/2020,3/6/2023,Winter,Evening,Loyalty Program,High
CUST_CO6WG2,PROD_VI0CE4,TRANS_DH0JF80,11,78.16,Sports,12,Europe,0.39,6451.51,1/9/2020,7/31/2023,Fall,Afternoon,Discount,Low
CUST_LIGHR8,PROD_8T76WJ,TRANS_DH0JF81,12,84.62,Clothing,73,Asia,0.93,2834.88,1/9/2020,8/21/2023,Winter,Afternoon,Email Campaign,High
CUST_834CIC,PROD_SQLTPT,TRANS_DH0JF82,16,145.04,Sports,70,Asia,0.09,5481.32,1/9/2020,10/15/2023,Winter,Morning,Email Campaign,Low
CUST_XZCC4C,PROD_X80ZEJ,TRANS_DH0JF83,1,148.59,Home,74,Europe,0.62,9380.7,1/9/2020,8/2/2023,Winter,Afternoon,Discount,Medium
CUST_O7LHAO,PROD_QN0FAE,TRANS_DH0JF84,7,150.69,Sports,47,Europe,0.43,6566.34,1/9/2020,1/25/2023,Summer,Evening,Email Campaign,Low
CUST_B7IMLD,PROD_QD41P1,TRANS_DH0JF85,4,25.37,Home,7,Europe,0.28,1490.79,1/10/2020,7/5/2023,Winter,Evening,Email Campaign,Low
CUST_VXKXVB,PROD_9B6A3A,TRANS_DH0JF86,7,65.14,Electronics,8,Asia,0.85,5526.26,1/10/2020,10/31/2023,Winter,Morning,Email Campaign,High
CUST_NHULCL,PROD_X29YNT,TRANS_DH0JF87,12,101.17,Electronics,14,North America,0.22,4150.75,1/10/2020,12/19/2023,Winter,Afternoon,Email Campaign,Low
CUST_KUFJSM,PROD_WG52WF,TRANS_DH0JF88,19,122.53,Electronics,61,South America,0.5,4170.21,1/10/2020,4/18/2023,Spring,Evening,Loyalty Program,Medium
CUST_G6N9FD,PROD_GQ5PQJ,TRANS_DH0JF89,7,133.35,Home,51,North America,0.07,4489.45,1/10/2020,2/10/2023,Summer,Morning,Email Campaign,Low
CUST_OF9OMB,PROD_0HXT1Q,TRANS_DH0JF90,7,147.31,Home,77,South America,0.89,137.84,1/10/2020,7/13/2023,Fall,Afternoon,Email Campaign,High
CUST_Y9ZFUA,PROD_J1SQCA,TRANS_DH0JF91,5,156.92,Electronics,73,South America,0.77,3777.19,1/10/2020,11/29/2023,Winter,Afternoon,Loyalty Program,Medium
CUST_W8IZWM,PROD_JV3HSP,TRANS_DH0JF92,1,21.35,Clothing,77,Europe,0.59,1927.38,1/11/2020,3/7/2023,Spring,Afternoon,Loyalty Program,Medium
CUST_PCJXQD,PROD_SRHSGZ,TRANS_DH0JF93,8,115.05,Sports,56,Asia,0.61,7406.33,1/11/2020,10/18/2023,Fall,Afternoon,Discount,Medium
CUST_X8UX0L,PROD_NJ8YXK,TRANS_DH0JF94,1,144.82,Home,16,South America,0.64,8573.07,1/11/2020,1/28/2023,Fall,Evening,Discount,Medium
CUST_SVBN7V,PROD_O8Y8SQ,TRANS_DH0JF95,4,159.05,Home,86,South America,0.02,3230.69,1/11/2020,8/28/2023,Spring,Evening,Email Campaign,Low
CUST_GHM06N,PROD_G8WZ3X,TRANS_DH0JF96,18,171.79,Home,62,Asia,0.99,7238.63,1/11/2020,10/15/2023,Winter,Afternoon,Loyalty Program,High
CUST_66TFRW,PROD_I4C4UA,TRANS_DH0JF97,10,89.5,Sports,84,South America,0.26,9594.06,1/12/2020,11/26/2023,Winter,Morning,Discount,Low
CUST_EKTUAH,PROD_4FJNXF,TRANS_DH0JF98,4,116.71,Clothing,46,South America,0.41,9941.36,1/12/2020,8/20/2023,Spring,Morning,Discount,Low
CUST_NSL919,PROD_H194R5,TRANS_DH0JF99,15,129.12,Home,37,South America,0.39,2484.81,1/12/2020,12/30/2023,Spring,Afternoon,Loyalty Program,Low
CUST_WA0P5L,PROD_L0LVXH,TRANS_DH0JF100,19,146.97,Sports,5,Asia,0.19,2553.48,1/12/2020,7/30/2023,Summer,Afternoon,Loyalty Program,Low
CUST_ZP0Y98,PROD_XEDDHT,TRANS_DH0JF101,1,149.57,Electronics,41,Europe,0.87,3884.54,1/12/2020,6/27/2023,Fall,Afternoon,Loyalty Program,High
CUST_EZ318B,PROD_W2QT8N,TRANS_DH0JF102,3,188.97,Home,17,Europe,0.61,5788.95,1/12/2020,12/29/2023,Summer,Afternoon,Email Campaign,Medium
CUST_J6EWB1,PROD_SXGTPG,TRANS_DH0JF103,16,106.65,Clothing,51,South America,0.41,8367.25,1/13/2020,8/5/2023,Summer,Evening,Discount,Low
CUST_PFF0VR,PROD_OTGAT3,TRANS_DH0JF104,16,117.89,Clothing,86,Europe,0.24,3704.42,1/13/2020,12/25/2023,Fall,Evening,Email Campaign,Low
CUST_70AB8B,PROD_D6QRJ0,TRANS_DH0JF105,19,168.73,Clothing,21,Asia,0.01,9462.69,1/13/2020,5/3/2023,Winter,Evening,Discount,Low
CUST_ZUK9Q7,PROD_AZP4IF,TRANS_DH0JF106,15,182.99,Home,14,North America,0.07,7311.45,1/13/2020,7/28/2023,Spring,Evening,Loyalty Program,Low
CUST_G04A2M,PROD_JPL6NI,TRANS_DH0JF107,18,39.89,Clothing,37,Europe,0.06,933.88,1/14/2020,6/5/2023,Fall,Morning,Loyalty Program,Low
CUST_8JINY9,PROD_A2CCT7,TRANS_DH0JF108,3,42.96,Electronics,14,Europe,0.92,4635.04,1/14/2020,1/5/2023,Winter,Afternoon,Discount,High
CUST_OCJKZ3,PROD_WSDWVF,TRANS_DH0JF109,1,70.86,Electronics,9,South America,0.61,5454.89,1/14/2020,9/8/2023,Fall,Morning,Email Campaign,Medium
CUST_LANR92,PROD_IXIEUB,TRANS_DH0JF110,17,73.63,Clothing,43,North America,0.21,7708.74,1/14/2020,9/10/2023,Winter,Afternoon,Discount,Low
CUST_SHWEH5,PROD_1UUYUI,TRANS_DH0JF111,8,78.38,Home,27,Asia,0.23,7144.17,1/14/2020,4/7/2023,Winter,Afternoon,Discount,Low
CUST_TWG0XC,PROD_75F6A7,TRANS_DH0JF112,9,82.15,Clothing,54,North America,0.13,8826.69,1/14/2020,8/16/2023,Spring,Afternoon,Email Campaign,Low
CUST_3Y1TB7,PROD_F3OD2V,TRANS_DH0JF113,2,108.96,Sports,34,South America,0.62,1021.6,1/14/2020,1/15/2023,Spring,Morning,Loyalty Program,Medium
CUST_FDQ9E3,PROD_6OO5UJ,TRANS_DH0JF114,14,191.73,Sports,72,South America,0.49,9602.66,1/14/2020,10/22/2023,Winter,Morning,Discount,Low
CUST_G3CBW1,PROD_4XTTVE,TRANS_DH0JF115,2,20.63,Electronics,43,North America,0.92,6949.25,1/15/2020,9/25/2023,Fall,Evening,Email Campaign,High
CUST_Z6QSTD,PROD_ZKTGY4,TRANS_DH0JF116,5,21.49,Electronics,52,Europe,0.28,512.54,1/15/2020,3/20/2023,Winter,Evening,Email Campaign,Low
CUST_ZJT22H,PROD_3I2T16,TRANS_DH0JF117,13,21.78,Home,49,Asia,0.29,9151.19,1/15/2020,1/17/2023,Winter,Morning,Loyalty Program,Low
CUST_U1KVT8,PROD_1CFMUP,TRANS_DH0JF118,14,23.93,Electronics,19,South America,0.6,2756.75,1/15/2020,10/31/2023,Fall,Morning,Discount,Medium
CUST_PTR7D2,PROD_WWVKRO,TRANS_DH0JF119,11,85.55,Electronics,33,South America,0.52,8108.16,1/15/2020,9/9/2023,Summer,Evening,Email Campaign,Medium
CUST_9E6S7D,PROD_DR4L30,TRANS_DH0JF120,15,94.31,Electronics,63,Europe,0.92,1692.25,1/15/2020,1/19/2023,Winter,Evening,Loyalty Program,High
CUST_8TLAJY,PROD_IHD5KI,TRANS_DH0JF121,5,135.84,Home,85,Asia,0.77,6471.72,1/15/2020,5/21/2023,Winter,Evening,Loyalty Program,Medium
CUST_EUB5V7,PROD_R972EB,TRANS_DH0JF122,8,145.44,Electronics,21,South America,0.62,9289.69,1/15/2020,1/16/2023,Fall,Afternoon,Loyalty Program,Medium
CUST_YYIMVV,PROD_EQMFSN,TRANS_DH0JF123,14,162.48,Sports,14,Europe,0.15,1392.45,1/15/2020,5/15/2023,Fall,Afternoon,Loyalty Program,Low
CUST_GJB1KY,PROD_V516Y4,TRANS_DH0JF124,19,164.9,Clothing,28,South America,0.27,9602.11,1/15/2020,6/27/2023,Winter,Afternoon,Email Campaign,Low
CUST_PJ28GG,PROD_WE7KP4,TRANS_DH0JF125,2,180.09,Home,12,North America,0.33,9521.46,1/15/2020,8/3/2023,Summer,Morning,Loyalty Program,Low
CUST_CR3O9U,PROD_PTTLQ6,TRANS_DH0JF126,13,187.23,Electronics,62,North America,0.8,492.81,1/15/2020,8/19/2023,Summer,Morning,Loyalty Program,High
CUST_QGYGVA,PROD_76TA7I,TRANS_DH0JF127,10,29.33,Sports,33,Europe,0.91,4650.51,1/16/2020,8/3/2023,Summer,Morning,Discount,High
CUST_QYGU1H,PROD_MMAKYH,TRANS_DH0JF128,13,41.81,Clothing,74,Asia,0.76,6992.79,1/16/2020,12/9/2023,Fall,Morning,Email Campaign,Medium
CUST_A8FP6T,PROD_U4XWNC,TRANS_DH0JF129,6,87.07,Sports,61,Europe,0.25,4389.88,1/16/2020,3/16/2023,Winter,Afternoon,Loyalty Program,Low
CUST_85MHW9,PROD_N6OEQ5,TRANS_DH0JF130,6,95.85,Clothing,44,North America,0.02,1938.29,1/16/2020,3/11/2023,Summer,Afternoon,Loyalty Program,Low
CUST_QCB8ED,PROD_1DHUF6,TRANS_DH0JF131,3,102.42,Electronics,23,Europe,0.57,1667.64,1/16/2020,3/11/2023,Summer,Afternoon,Loyalty Program,Medium
CUST_8FE81E,PROD_XDQGJI,TRANS_DH0JF132,3,146.53,Home,51,Asia,0.73,4520.79,1/16/2020,2/17/2023,Spring,Evening,Loyalty Program,Medium
CUST_NM92ZM,PROD_D5MWAU,TRANS_DH0JF133,8,146.99,Home,15,Europe,0.92,1324.34,1/16/2020,11/23/2023,Spring,Evening,Loyalty Program,High
CUST_P95H7U,PROD_RWUZLG,TRANS_DH0JF134,12,165.25,Clothing,68,South America,0.67,9947.19,1/16/2020,11/18/2023,Winter,Evening,Email Campaign,Medium
CUST_PGGX93,PROD_TU42DS,TRANS_DH0JF135,5,198.83,Sports,68,South America,0.1,2363.91,1/16/2020,3/23/2023,Winter,Evening,Loyalty Program,Low
CUST_T95LCL,PROD_V9G363,TRANS_DH0JF136,19,20.37,Sports,29,Europe,0.08,416.3,1/17/2020,10/9/2023,Winter,Evening,Loyalty Program,Low
CUST_20IIC8,PROD_M8DRO2,TRANS_DH0JF137,8,61.76,Sports,26,Europe,0.31,6584.08,1/17/2020,9/15/2023,Summer,Morning,Email Campaign,Low
CUST_92VOAD,PROD_HHFAHL,TRANS_DH0JF138,5,63.34,Clothing,9,Europe,0.33,9330.65,1/17/2020,9/11/2023,Fall,Morning,Email Campaign,Low
CUST_QA1HIN,PROD_RNSX0Z,TRANS_DH0JF139,17,83.49,Clothing,10,Asia,0.15,4295.18,1/17/2020,4/28/2023,Fall,Evening,Email Campaign,Low
CUST_ECXABM,PROD_2TPIFN,TRANS_DH0JF140,5,100.21,Clothing,48,North America,0.59,4629.46,1/17/2020,8/28/2023,Fall,Evening,Email Campaign,Medium
CUST_OMF9BU,PROD_UZDLT3,TRANS_DH0JF141,12,130.47,Home,53,Europe,0.27,1836.25,1/17/2020,12/2/2023,Spring,Evening,Loyalty Program,Low
CUST_6AVB15,PROD_MEU5M1,TRANS_DH0JF142,19,148.55,Clothing,29,Europe,0.59,1205.26,1/17/2020,3/2/2023,Fall,Morning,Discount,Medium
CUST_ZMG0WW,PROD_ZDILE2,TRANS_DH0JF143,12,165.36,Clothing,41,South America,0.34,8970.46,1/17/2020,11/19/2023,Spring,Morning,Email Campaign,Low
CUST_DB4V47,PROD_U6CAI1,TRANS_DH0JF144,4,190.76,Home,63,Europe,0.3,429.97,1/17/2020,4/12/2023,Spring,Evening,Discount,Low
CUST_REKKSM,PROD_60BHU4,TRANS_DH0JF145,5,21.19,Home,86,North America,0.32,5212.08,1/18/2020,2/15/2023,Summer,Afternoon,Email Campaign,Low
CUST_U3JA4F,PROD_H9C1WN,TRANS_DH0JF146,17,39.68,Sports,24,South America,0.08,162.84,1/18/2020,1/26/2023,Fall,Morning,Loyalty Program,Low
CUST_EFYNBN,PROD_FWLRYV,TRANS_DH0JF147,7,61.87,Home,79,Europe,0.16,5377.84,1/18/2020,10/2/2023,Spring,Evening,Loyalty Program,Low
CUST_VTH4KS,PROD_TMW894,TRANS_DH0JF148,10,86.63,Sports,52,South America,0.61,8188.25,1/18/2020,11/30/2023,Fall,Morning,Discount,Medium
CUST_XXU5YH,PROD_YMF99H,TRANS_DH0JF149,18,133.77,Clothing,11,Asia,0.07,455.32,1/18/2020,1/25/2023,Summer,Morning,Discount,Low
CUST_YAAD80,PROD_BZ20QM,TRANS_DH0JF150,18,145.58,Clothing,77,North America,0.75,4603.63,1/18/2020,1/14/2023,Summer,Evening,Discount,Medium
CUST_GPBTFF,PROD_9TEBE3,TRANS_DH0JF151,19,163.57,Sports,24,Asia,0.79,7099.52,1/18/2020,11/23/2023,Summer,Morning,Email Campaign,Medium
CUST_2E78ZN,PROD_JI653F,TRANS_DH0JF152,17,189.83,Home,63,North America,0.06,8741.21,1/18/2020,8/26/2023,Fall,Morning,Loyalty Program,Low
CUST_1E21FP,PROD_FDJ0US,TRANS_DH0JF153,14,46.37,Home,11,South America,1,8922.5,1/19/2020,10/5/2023,Fall,Evening,Discount,High
CUST_GKJ4RM,PROD_MMFUI5,TRANS_DH0JF154,14,104.17,Clothing,87,Europe,0.32,4622.02,1/19/2020,1/13/2023,Fall,Morning,Email Campaign,Low
CUST_XA2P2I,PROD_YIT1GJ,TRANS_DH0JF155,19,109.54,Home,85,Europe,0.96,3987.13,1/19/2020,6/22/2023,Spring,Morning,Email Campaign,High
